Task,image_auc,pixel_auc,image_ap,pixel_ap,time_cost
airplane,0.6994,0.6588198971762815,0.6817026877725663,0.022416990421198112,6.552961483001709
car,0.8592,0.7746174173090639,0.8634859499107905,0.40871507786317907,5.631792798042297
candybar,0.9863999999999999,0.7422274115860643,0.9839914431332739,0.25203466669069763,2.290662157535553
chicken,0.8575498575498576,0.6986340680789036,0.8764891593257477,0.2254650595536941,10.682522924441212
diamond,0.9652000000000001,0.8000514010734828,0.9565276350245187,0.47043317945838564,8.40060254573822
duck,0.7506,0.6433364482558728,0.6739768357152791,0.02326233329715459,9.445718467235565
fish,0.9934,0.7752827426830777,0.9937368795921429,0.49135444422026475,1.8944455981254578
gemstone,0.6292,0.599344658268531,0.5577418881777587,0.011314283384510194,3.55091511964798
seahorse,0.9744,0.8183405683846858,0.9743241327309147,0.5915123417500189,1.5285410809516906
shell,0.8866185897435898,0.7623634994919152,0.7530866756953356,0.20138941326737922,2.7297448205947874
starfish,0.6438,0.6436841564417376,0.5747697834651545,0.034759139538676175,1.904847767353058
toffees,0.9308,0.694840039904453,0.934532370993018,0.23338992990458662,3.5039036774635317
